Ubigeo,Departamento,Provincia,Distrito,Prov + Distrito,Pob. Rural ('000s),Pob. Urbana  ('000s),Education Centres Rural - 2019,Education Centres  Urban - 2019,Non-reading population 2017,Teachers - Elementary,Teachers - Secondary,Average Years of Study,Budget 2022 (S/ Mn),Expenses 2022 (S/ Mn),Income 2022 (S/ Mn),Distritos's suspicious money laundry operations 2022,People with cellphone 2022,People with internet 2022,Poverty (%),Men Illiteracy (#),Women Illiteracy (#),Agricultural Tipology 2,Area KM2,Discrimination %,*EC_Rural,*EC_Urban,*EC_SQKM,*Pop_Density,*Teachers_Pop,*Teachers_EC,*D_Month-Income_PerCapita - Pounds,*Pop_Total,*Illiteracy_Total,*Illiteracy_Pop,*Cel_Pop,*Int_Pop,Income_Zscore,_classPoverty (%),_class*D_Month-Income_PerCapita - Pounds,_class*EC_SQKM,_class*Illiteracy_Pop,_class*Teachers_EC,_classDiscrimination %,_classDistritos's suspicious money laundry operations 2022,_class*Cel_Pop,_class*Int_Pop,Vulnerability_Score,EC_SQKM_Category,Teachers_EC_SCategory,Total Education Centres - 2019,Poverty (%) Normalized
10306,AMAZONAS,BONGARA,FLORIDA,BONGARAFLORIDA,2526,3869,21,8,480,52,43,7.2,58.68684,7.5135,4.6843,473.0,5610.5599999999995,122.14,33.7,112,369,1.0,181.4243371,5.9,120.28571428571429,483.625,159.84625030772676,35.24885416268664,1.4855355746677092,3.2758620689655173,12.818647380766224,6395,481,0.07521501172791244,87.73354182955433,1.9099296325254103,-0.33169839052546846,1,1,1,1,0,1,1,1,1,8,Below Mean,Above Mean,29,42.37931034482759
10307,AMAZONAS,BONGARA,JAZAN,BONGARAJAZAN,1270,6789,17,18,336,69,89,8.4,21.99317,4.442399999999999,5.0888,473.0,7966.68,457.04,22.7,96,240,1.0,61.5660516,5.9,74.70588235294117,377.1666666666667,568.4951217498574,130.90006246234572,1.9605410100508747,4.514285714285714,11.05025437399181,8059,336,0.04169251768209455,98.85444844273484,5.671175083757291,-0.3447912658154554,0,1,0,1,0,1,1,0,0,4,Below Mean,Above Mean,35,28.83251231527093
10301,AMAZONAS,BONGARA,JUMBILLA,BONGARAJUMBILLA,245,1140,4,5,47,12,18,8.5,78.30089,10.2125,4.6313,473.0,1560.24,193.06,29.5,6,40,1.0,129.0215324,5.9,61.25,228.0,69.75579837400846,10.734642305333523,2.166064981949458,3.3333333333333335,58.518231046931405,1385,46,0.0332129963898917,100.0,13.939350180505416,0.006653405400714595,1,0,1,1,0,1,1,0,0,5,Below Mean,Above Mean,9,37.206896551724135
10308,AMAZONAS,BONGARA,RECTA,BONGARARECTA,157,64,2,0,8,1,0,7.2,4.24399,1.2515,1.4058,473.0,212.76,3.94,38.7,0,8,1.0,23.480837,5.9,78.5,,85.17583934507957,9.411930247631291,0.4524886877828055,0.5,111.31900452488688,221,8,0.03619909502262444,96.27149321266968,1.7828054298642533,0.39758117977745977,1,0,1,1,1,1,1,0,1,7,Below Mean,Below Mean,2,48.53694581280788
10309,AMAZONAS,BONGARA,SAN CARLOS,BONGARASAN CARLOS,140,369,0,2,22,1,0,7.6,22.53931,0.9052,0.9414,473.0,500.38,0.0,29.0,6,15,1.0,91.498137,5.9,,184.5,21.858368547984753,5.56295479546212,0.19646365422396855,0.5,32.3664047151277,509,21,0.0412573673870334,98.30648330058939,0.0,-0.1869701836182516,1,1,1,1,1,1,1,0,1,8,Below Mean,Below Mean,2,36.59113300492611
10310,AMAZONAS,BONGARA,SHIPASBAMBA,BONGARASHIPASBAMBA,766,848,8,3,111,16,8,6.7,4.52216,6.0445,2.6361999999999997,473.0,1564.18,11.82,35.9,34,78,1.0,102.11229529999999,5.9,95.75,282.6666666666667,107.72453961281195,15.806127903188953,1.486988847583643,2.1818181818181817,28.583333333333325,1614,112,0.06939281288723669,96.91325898389096,0.7323420074349443,-0.21497938837375927,1,1,1,1,1,1,1,0,1,8,Below Mean,Below Mean,11,45.08866995073891
10311,AMAZONAS,BONGARA,VALERA,BONGARAVALERA,617,300,7,2,66,6,0,6.8,4.99962,4.0778,1.2694,473.0,937.72,19.7,20.8,20,46,1.0,63.417857700000006,5.9,88.14285714285714,150.0,141.91586291947542,14.45964958857322,0.6543075245365322,0.6666666666666666,24.22519083969465,917,66,0.07197382769901854,100.0,2.148309705561614,-0.24724631995888455,0,1,1,1,1,1,1,0,1,7,Below Mean,Below Mean,9,26.492610837438423
10312,AMAZONAS,BONGARA,YAMBRASBAMBA,BONGARAYAMBRASBAMBA,3568,2283,35,12,492,56,60,6.5,19.77422,9.7565,4.9994,473.0,4597.98,90.62,43.9,126,367,1.0,1368.9540604000001,5.9,101.94285714285714,190.25,34.33278103303692,4.274065996261681,1.9825670825499915,2.4680851063829787,14.952914031789438,5851,493,0.08425910100837464,78.58451546744145,1.5487950777644848,-0.3158966501937789,1,1,1,1,1,1,1,1,1,9,Below Mean,Below Mean,47,54.94088669950739
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,CHACHAPOYASASUNCION,127,156,2,2,32,3,0,7.5,4.29883,1.044,1.0842,473.0,256.1,0.0,36.5,8,25,1.0,28.2275298,5.9,63.5,78.0,141.70563376750025,10.025673589050644,1.0600706713780919,0.75,67.04416961130742,283,33,0.1166077738515901,90.49469964664311,0.0,0.06977797665033711,1,0,1,0,1,1,1,0,1,6,Below Mean,Below Mean,4,45.82758620689655
10103,AMAZONAS,CHACHAPOYAS,BALSAS,CHACHAPOYASBALSAS,861,372,14,4,111,14,8,6.5,4.40492,1.7056,1.4652,473.0,973.18,11.82,45.7,50,61,1.0,259.826755,5.9,61.5,93.0,69.27693031458597,4.745469726549139,1.7842660178426604,1.2222222222222223,20.795620437956206,1233,111,0.09002433090024331,78.92781832927818,0.9586374695863746,-0.2726382647337035,1,1,1,1,1,1,1,1,1,9,Below Mean,Below Mean,18,57.15763546798029
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,CHACHAPOYASCHACHAPOYAS,634,35234,9,66,918,232,244,11.0,177.71629,42.3628,24.4165,473.0,30527.12,6043.96,9.0,206,711,1.0,124.5526664,5.9,70.44444444444444,533.8484848484849,602.1549129999195,287.9745655930815,1.3270882123341141,6.346666666666667,11.912812256049959,35868,917,0.025565964090554255,85.10962417753987,16.85056317609011,-0.33840503677195677,0,1,0,1,0,1,1,1,0,5,Below Mean,Above Mean,75,11.960591133004927
10104,AMAZONAS,CHACHAPOYAS,CHETO,CHACHAPOYASCHETO,208,474,4,4,33,7,7,6.8,13.1189,1.5317,1.3287,473.0,642.22,23.64,39.2,11,22,1.0,54.26323420000001,5.9,52.0,118.5,147.42947260596569,12.568362539658573,2.0527859237536656,1.75,34.094208211143695,682,33,0.04838709677419355,94.16715542521995,3.4662756598240465,-0.17417782603015883,1,1,1,1,1,1,1,0,1,8,Below Mean,Below Mean,8,49.15270935960591
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,CHACHAPOYASCHILIQUIN,428,200,7,2,66,5,0,5.6,4.44564,5.3416999999999994,0.9281,473.0,460.98,0.0,53.0,25,41,1.0,116.5484455,5.9,61.142857142857146,100.0,77.22110716611832,5.3883172555913665,0.7961783439490446,0.5555555555555556,25.86265923566879,628,66,0.10509554140127389,73.40445859872612,0.0,-0.23512278779287019,1,1,1,1,1,1,1,1,1,9,Below Mean,Below Mean,9,66.14778325123153
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,CHACHAPOYASCHUQUIBAMBA,1408,571,22,3,79,20,26,7.4,41.03611,10.6473,1.8037999999999998,473.0,1568.12,3.94,51.6,13,66,1.0,149.9536893,5.9,64.0,190.33333333333334,166.71813889143172,13.197407874645736,2.3244062657908033,1.84,15.950732693279432,1979,79,0.03991915108640728,79.23799898938857,0.19909044972208187,-0.3085089737853883,1,1,1,1,1,1,1,1,1,9,Below Mean,Below Mean,25,64.42364532019704
10107,AMAZONAS,CHACHAPOYAS,GRANADA,CHACHAPOYASGRANADA,327,191,5,1,49,5,7,6.0,6.61698,4.996899999999999,1.1650999999999998,473.0,457.04,0.0,43.9,9,40,1.0,140.1449102,5.9,65.4,191.0,42.81282846046592,3.696174190420224,2.3166023166023164,2.0,39.36148648648647,518,49,0.0945945945945946,88.23166023166024,0.0,-0.13517981070634116,1,1,1,1,1,1,1,1,1,9,Below Mean,Below Mean,6,54.94088669950739
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,CHACHAPOYASHUANCAS,47,1239,0,4,88,2,0,7.9,4.91155,1.3729,1.483,473.0,394.0,11.82,32.0,61,26,1.0,37.9153294,5.9,,309.75,105.49822626623416,33.91767974459428,0.15552099533437014,0.5,20.180793157076202,1286,87,0.06765163297045101,30.637636080870916,0.9191290824261276,-0.27719033934755116,1,1,1,1,1,1,1,1,1,9,Below Mean,Below Mean,4,40.285714285714285
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,CHACHAPOYASLA JALCA,1731,2522,26,14,354,66,53,6.5,13.17437,2.0696,1.921,473.0,3305.66,106.38,47.9,90,265,1.0,102.0990779,5.9,66.57692307692308,180.14285714285714,391.77631005813424,41.655616166931125,2.7980249235833528,2.975,7.904420409122972,4253,355,0.08347049141782271,77.72537032682811,2.501293204796614,-0.36808247519439363,1,1,0,1,1,1,1,1,1,8,Below Mean,Above Mean,40,59.866995073891616
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,CHACHAPOYASLEIMEBAMBA,914,2957,12,15,264,34,28,7.6,60.31509,2.6852,2.6087,473.0,3419.92,228.52,25.7,109,156,1.0,368.4909692,5.9,76.16666666666667,197.13333333333333,73.27180923488423,10.505006427712477,1.6016533195556701,2.2962962962962963,11.793399638336345,3871,265,0.06845776285197623,88.34719710669077,5.903384138465513,-0.3392891470945977,1,1,1,1,1,1,1,1,0,8,Below Mean,Below Mean,27,32.5270935960591
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,CHACHAPOYASLEVANTO,355,483,2,4,71,9,7,6.2,4.52979,1.9918,1.8904,473.0,866.8,3.94,41.1,16,55,1.0,61.2759919,5.9,177.5,120.75,97.91763158712735,13.675829211668788,1.9093078758949882,2.6666666666666665,39.47732696897375,838,71,0.08472553699284009,100.0,0.4701670644391408,-0.13432214785372432,1,1,1,1,1,1,1,0,1,8,Below Mean,Below Mean,6,51.49261083743842
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,CHACHAPOYASMAGDALENA,167,746,0,5,56,7,8,7.8,4.32849,2.8219000000000003,2.7448,473.0,953.48,35.46,30.6,12,44,1.0,110.8474847,5.9,,149.2,45.107022622408685,8.236542330851826,1.642935377875137,3.0,52.61117196056955,913,56,0.06133625410733844,100.0,3.883899233296824,-0.037081436148670724,1,0,1,1,1,1,1,0,1,7,Below Mean,Above Mean,5,38.5615763546798
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,CHACHAPOYASMARISCAL CASTILLA,421,1033,7,3,82,7,8,8.2,15.75519,1.1947,1.1365,473.0,1083.5,23.64,39.2,20,61,1.0,64.4025425,5.9,60.142857142857146,344.3333333333333,155.27337294175925,22.576748425731797,1.031636863823934,1.5,13.678645116918844,1454,81,0.05570839064649243,74.51856946354883,1.62585969738652,-0.3253311163584802,1,1,1,1,1,1,1,1,1,9,Below Mean,Below Mean,10,49.15270935960591
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,CHACHAPOYASMOLINOPAMPA,1641,694,23,4,165,22,20,7.0,59.99025,4.724,3.8223000000000003,473.0,2273.38,15.76,35.7,29,136,1.0,279.0380358,5.9,71.34782608695652,173.5,96.76100221459487,8.368034821151074,1.7987152034261242,1.5555555555555556,28.646788008565316,2335,165,0.07066381156316917,97.3610278372591,0.6749464668094218,-0.2145095809575365,1,1,1,1,1,1,1,0,1,8,Below Mean,Below Mean,27,44.84236453201971
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,CHACHAPOYASMONTEVIDEO,40,488,0,4,30,4,8,8.5,4.33211,6.7607,0.825,473.0,409.76,3.94,38.6,11,19,1.0,101.1032355,5.9,,122.0,39.56352118919083,5.222384796973189,2.272727272727273,3.0,27.34375,528,30,0.056818181818181816,77.6060606060606,0.7462121212121211,-0.22415704850513632,1,1,1,1,1,1,1,1,1,9,Below Mean,Above Mean,4,48.41379310344828
10116,AMAZONAS,CHACHAPOYAS,OLLEROS,CHACHAPOYASOLLEROS,271,148,3,2,29,3,0,7.6,4.26176,3.5277,3.2026999999999997,473.0,500.38,7.88,47.9,7,22,1.0,87.6529281,5.9,90.33333333333333,74.0,57.0431599763066,4.780216806014493,0.7159904534606205,0.6,133.7643198090692,419,29,0.06921241050119331,100.0,1.8806682577565632,0.5637624034842132,1,0,1,1,1,1,1,0,1,7,Below Mean,Below Mean,5,59.866995073891616
10117,AMAZONAS,CHACHAPOYAS,QUINJALCA,CHACHAPOYASQUINJALCA,721,107,11,2,116,7,0,5.4,19.81296,0.9437000000000001,0.8672000000000001,473.0,397.94,0.0,47.1,18,97,1.0,65.7775571,5.9,65.54545454545455,53.5,197.63579818320738,12.587880068899672,0.8454106280193237,0.5384615384615384,18.32850241545894,828,115,0.1388888888888889,48.06038647342995,0.0,-0.2909043789235321,1,1,1,0,1,1,1,1,1,8,Below Mean,Below Mean,13,58.88177339901478
10118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,CHACHAPOYASSAN FRANCISCO DE DAGUAS,78,243,4,0,16,2,7,8.8,4.39827,1.3175999999999999,1.495,473.0,346.71999999999997,43.339999999999996,29.7,8,9,1.0,34.1764566,5.9,19.5,,117.03963482276275,9.39243069452671,2.803738317757009,2.25,81.5031152647975,321,17,0.0529595015576324,100.0,13.501557632398754,0.1768295039639112,1,0,1,1,1,1,1,0,0,6,Below Mean,Below Mean,4,37.453201970443345
10119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,CHACHAPOYASSAN ISIDRO DE MAINO,161,452,2,5,40,7,5,6.4,70.47965,1.2254,1.1923,473.0,563.42,0.0,43.4,12,28,1.0,88.1838105,5.9,80.5,90.4,79.37964985080792,6.951389336935037,1.957585644371941,1.7142857142857142,34.03792822185971,613,40,0.06525285481239804,91.91190864600325,0.0,-0.17459451331527825,1,1,1,1,1,1,1,0,1,8,Below Mean,Below Mean,7,54.32512315270935
10120,AMAZONAS,CHACHAPOYAS,SOLOCO,CHACHAPOYASSOLOCO,1060,241,10,3,103,9,7,6.4,4.56976,2.3581,2.6027,473.0,1059.86,0.0,41.1,31,72,1.0,60.499249199999994,5.9,106.0,80.33333333333333,214.8786996847558,21.50439909922056,1.2298232129131437,1.2307692307692308,35.00941583397386,1301,103,0.07916986933128363,81.46502690238277,0.0,-0.16740178743225828,1,1,1,1,1,1,1,1,1,9,Below Mean,Below Mean,13,51.49261083743842
10121,AMAZONAS,CHACHAPOYAS,SONCHE,CHACHAPOYASSONCHE,157,111,3,2,19,3,0,6.1,4.2077,1.9669,1.8684,473.0,216.7,0.0,55.9,6,14,1.0,98.0112586,5.9,52.333333333333336,55.5,51.01454742465678,2.7343797419616034,1.1194029850746268,0.6,122.00373134328358,268,20,0.07462686567164178,80.85820895522387,0.0,0.47668904505680526,1,0,1,1,1,1,1,1,1,8,Below Mean,Below Mean,5,69.7192118226601
10402,AMAZONAS,CONDORCANQUI,EL CENEPA,CONDORCANQUIEL CENEPA,10567,1091,117,11,1047,174,103,6.3,40.8677,9.2927,9.356399999999999,473.0,1189.8799999999999,0.0,62.9,211,836,0.0,4475.2261579000005,5.9,90.31623931623932,99.18181818181819,28.60190646992106,2.6050080127057793,2.3760507805798596,2.1640625,14.04503345342254,11658,1047,0.08980957282552754,10.20655343969806,0.0,-0.3226184406245388,1,1,1,1,1,1,1,1,1,9,Below Mean,Below Mean,128,78.33990147783251
10401,AMAZONAS,CONDORCANQUI,NIEVA,CONDORCANQUINIEVA,16865,4459,242,21,1523,375,180,7.1,186.66185,25.3567,43.2316,473.0,6020.32,216.7,51.4,345,1179,1.0,3429.5868314,5.9,69.6900826446281,212.33333333333334,76.68562218401105,6.2176585834671165,2.602701181767023,2.1102661596958177,35.478943912961924,21324,1524,0.0714687675858188,28.232601763271433,1.0162258488088538,-0.163925482923143,1,1,1,1,1,1,1,1,1,9,Below Mean,Below Mean,263,64.17733990147782
10403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,CONDORCANQUIRIO SANTIAGO,14534,2284,128,16,1082,207,170,7.0,60.98954,15.1331,16.3654,473.0,1516.9,7.88,59.9,276,805,0.0,6581.149417899999,5.9,113.546875,142.75,21.880676285564327,2.555480651184867,2.2416458556308716,2.6180555555555554,17.029046259959568,16818,1081,0.06427637055535736,9.019502913545011,0.04685456058984422,-0.30052532705190793,1,1,1,1,1,1,1,1,1,9,Below Mean,Below Mean,144,74.64532019704433
10502,AMAZONAS,LUYA,CAMPORREDONDO,LUYACAMPORREDONDO,2702,4535,20,15,663,77,58,6.9,89.27865,4.2983,4.273899999999999,473.0,5720.88,189.12,50.2,246,418,1.0,177.8744624,5.9,135.1,302.3333333333333,196.76798753321205,40.68599787936731,1.8654138455160978,3.857142857142857,10.334841785270138,7237,664,0.0917507254387177,79.05043526323063,2.6132375293629955,-0.35008805661316666,1,1,1,1,0,1,1,1,1,8,Below Mean,Above Mean,35,62.69950738916257
10503,AMAZONAS,LUYA,COCABAMBA,LUYACOCABAMBA,1718,377,25,3,140,25,20,5.8,10.00422,1.887,1.7668,473.0,1690.26,0.0,56.0,48,92,0.0,280.9698804,5.9,68.72,125.66666666666667,99.65480983277665,7.456315235702395,2.1479713603818613,1.6071428571428572,14.758472553699283,2095,140,0.06682577565632458,80.68066825775657,0.0,-0.3173362611931905,1,1,1,1,1,1,1,1,1,9,Below Mean,Below Mean,28,69.8423645320197
10504,AMAZONAS,LUYA,COLCAMAR,LUYACOLCAMAR,720,1315,12,3,222,22,13,6.2,8.69453,1.6539000000000001,1.0744,473.0,2029.1,27.58,42.3,55,167,0.0,87.5906253,5.9,60.0,438.3333333333333,171.2512035234894,23.23307994468673,1.71990171990172,2.3333333333333335,9.23931203931204,2035,222,0.10909090909090909,99.71007371007371,1.3552825552825551,-0.35819916895377896,1,1,1,0,1,1,1,0,1,7,Below Mean,Below Mean,15,52.970443349753694
10505,AMAZONAS,LUYA,CONILA,LUYACONILA,836,1121,11,3,203,18,16,6.0,8.50611,3.7768,0.9022,473.0,1453.86,0.0,49.6,56,148,1.0,202.40267239999997,5.9,76.0,373.6666666666667,69.16904719682941,9.668844668871083,1.7373530914665303,2.4285714285714284,8.067705671946857,1957,204,0.10424118548799183,74.29024016351558,0.0,-0.36687353941221396,1,1,1,1,1,1,1,1,1,9,Below Mean,Below Mean,14,61.960591133004925
10506,AMAZONAS,LUYA,INGUILPATA,LUYAINGUILPATA,165,361,1,3,65,3,7,6.3,4.28083,1.975,1.8413,473.0,610.7,0.0,40.2,19,46,1.0,95.8906153,5.9,165.0,120.33333333333333,41.714196821928205,5.485416882083559,1.9011406844106464,2.5,61.25998098859315,526,65,0.12357414448669202,100.0,0.0,0.026952846715506854,1,0,1,0,1,1,1,0,1,6,Below Mean,Below Mean,4,50.38423645320197
10501,AMAZONAS,LUYA,LAMUD,LUYALAMUD,254,2128,5,9,163,16,28,9.0,180.25086,27.3942,12.4338,473.0,2521.6,169.42,31.0,26,138,1.0,59.342459000000005,5.9,50.8,236.44444444444446,235.91877107755172,40.1398937647663,1.8471872376154492,3.142857142857143,91.34823677581863,2382,164,0.0688497061293031,100.0,7.112510495382031,0.24972107708412258,1,0,1,1,0,1,1,0,0,5,Below Mean,Above Mean,14,39.05418719211822
10507,AMAZONAS,LUYA,LONGUITA,LUYALONGUITA,680,221,4,2,75,10,8,6.3,42.93481,1.5154,1.3967,473.0,669.8,0.0,56.8,25,50,1.0,48.1003539,5.9,170.0,110.5,124.73920696038788,18.731670911884912,1.9977802441731412,3.0,27.127913429522753,901,75,0.08324084350721421,74.33962264150942,0.0,-0.2257550650599697,1,1,1,1,1,1,1,1,1,9,Below Mean,Above Mean,6,70.82758620689654
10508,AMAZONAS,LUYA,LONYA CHICO,LUYALONYA CHICO,534,366,7,4,89,7,8,6.5,20.26689,1.3679000000000001,1.3127,473.0,764.36,3.94,46.7,17,72,1.0,57.2302817,5.9,76.28571428571429,91.5,192.20593841668966,15.725940415910971,1.6666666666666667,1.3636363636363635,25.524722222222223,900,89,0.09888888888888889,84.92888888888889,0.4377777777777777,-0.2376248148626317,1,1,1,1,1,1,1,1,1,9,Below Mean,Below Mean,11,58.389162561576356
10509,AMAZONAS,LUYA,LUYA,LUYALUYA,1709,2447,16,11,386,37,38,7.6,12.52782,5.0393,1.9832,473.0,3258.38,169.42,30.3,93,292,0.0,78.0136426,5.9,106.8125,222.45454545454547,346.0933126586247,53.272733607749785,1.8046198267564966,2.7777777777777777,8.350818094321463,4156,385,0.09263715110683349,78.40182868142445,4.076515880654475,-0.3647774241114879,1,1,0,1,1,1,1,1,1,8,Below Mean,Below Mean,27,38.19211822660098
10510,AMAZONAS,LUYA,LUYA VIEJO,LUYALUYA VIEJO,0,409,0,3,48,4,0,6.2,4.2638,1.2059000000000002,1.2395,473.0,224.57999999999998,0.0,54.4,16,32,1.0,46.8752681,5.9,,136.33333333333334,63.9996339562269,8.725283429365602,0.9779951100244498,1.3333333333333333,53.034841075794624,409,48,0.11735941320293398,54.909535452322736,0.0,-0.03394466345809164,1,0,1,0,1,1,1,1,1,7,Below Mean,Below Mean,3,67.87192118226601
10511,AMAZONAS,LUYA,MARIA,LUYAMARIA,396,400,6,3,63,9,8,6.5,43.46472,4.375100000000001,2.4466,473.0,748.6,3.94,51.9,22,40,1.0,69.2242457,5.9,66.0,133.33333333333334,130.01225089549803,11.498861301424048,2.135678391959799,1.8888888888888888,53.788316582914575,796,62,0.07788944723618091,94.04522613065328,0.49497487437185933,-0.02836606141036275,1,0,1,1,1,1,1,0,1,7,Below Mean,Below Mean,9,64.79310344827586
